Row Labels,Average of Price ,Average of Max resolution,Average of Effective pixels,Average of Zoom tele (T),Average of Zoom wide (W)
Agfa,351.86,1161,0.43,72.00,40.57
1997,179.00,1024,0.00,114.00,38.00
ePhoto 1280,179.00,1024,0.00,114.00,38.00
1998,179.00,1280,1.00,114.00,38.00
ePhoto 1680,179.00,1280,1.00,114.00,38.00
1999,582.33,1195,0.33,60.00,37.33
ePhoto CL30,269.00,1152,0.00,35.00,35.00
ePhoto CL30 Clik!,1299.00,1152,0.00,43.00,43.00
ePhoto CL50,179.00,1280,1.00,102.00,34.00
2000,179.00,640,0.00,45.00,45.00
ePhoto CL18,179.00,640,0.00,45.00,45.00
2001,179.00,1600,1.00,51.00,51.00
ePhoto CL45,179.00,1600,1.00,51.00,51.00
Canon,682.09,2623,5.27,110.62,29.78
1996,139.00,832,0.00,50.00,50.00
PowerShot 600,139.00,832,0.00,50.00,50.00
1997,149.00,640,0.00,42.00,42.00
PowerShot 350,149.00,640,0.00,42.00,42.00
1998,174.00,1280,0.50,52.50,31.50
PowerShot A5,149.00,1024,0.00,35.00,35.00
PowerShot Pro70,199.00,1536,1.00,70.00,28.00
1999,232.33,1301,0.67,70.00,30.33
PowerShot A5 Zoom,149.00,1024,0.00,70.00,28.00
PowerShot A50,149.00,1280,1.00,70.00,28.00
PowerShot S10,399.00,1600,1.00,70.00,35.00
2000,411.50,1964,2.50,59.00,25.25
EOS D30,549.00,2160,3.00,0.00,0.00
PowerShot G1,499.00,2048,3.00,102.00,34.00
PowerShot S100,199.00,1600,1.00,70.00,35.00
PowerShot S20,399.00,2048,3.00,64.00,32.00
2001,732.89,1888,2.11,118.56,31.22
EOS-1D,4499.00,2464,4.00,0.00,0.00
PowerShot A10,139.00,1280,1.00,105.00,35.00
PowerShot A20,139.00,1600,1.00,105.00,35.00
PowerShot G2,499.00,2272,3.00,102.00,34.00
PowerShot Pro90 IS,384.00,1856,2.00,370.00,37.00
PowerShot S110,199.00,1600,1.00,70.00,35.00
PowerShot S30,399.00,2048,3.00,105.00,35.00
PowerShot S300,199.00,1600,1.00,105.00,35.00
PowerShot S40,139.00,2272,3.00,105.00,35.00
2002,939.91,2063,2.91,70.73,29.36
EOS D60,549.00,3072,6.00,0.00,0.00
EOS-1Ds,7999.00,4064,11.00,0.00,0.00
PowerShot A100,139.00,1280,1.00,39.00,39.00
PowerShot A200,139.00,1600,1.00,39.00,39.00
PowerShot A30,139.00,1280,1.00,105.00,35.00
PowerShot A40,139.00,1600,1.00,105.00,35.00
PowerShot G3,499.00,2272,3.00,140.00,35.00
PowerShot S200,199.00,1600,1.00,70.00,35.00
PowerShot S230,199.00,2048,3.00,70.00,35.00
PowerShot S330,199.00,1600,1.00,105.00,35.00
PowerShot S45,139.00,2272,3.00,105.00,35.00
2003,385.36,2353,3.73,74.36,29.09
EOS 10D,1299.00,3072,6.00,0.00,0.00
EOS 300D / Digital Rebel,1299.00,3072,6.00,0.00,0.00
PowerShot A300,139.00,2048,3.00,33.00,33.00
PowerShot A60,139.00,1600,1.00,105.00,35.00
PowerShot A70,139.00,2048,3.00,105.00,35.00
PowerShot A80,139.00,2272,3.00,114.00,38.00
PowerShot G5,149.00,2592,5.00,140.00,35.00
PowerShot S400,139.00,2272,3.00,108.00,36.00
PowerShot S50,399.00,2592,5.00,105.00,35.00
PowerShot SD10,199.00,2272,3.00,38.00,38.00
PowerShot SD100,199.00,2048,3.00,70.00,35.00
2004,916.37,2678,5.37,100.63,29.42
EOS 20D,1299.00,3504,8.00,0.00,0.00
EOS-1D Mark II,4499.00,3504,8.00,0.00,0.00
EOS-1Ds Mark II,7999.00,4992,16.00,0.00,0.00
PowerShot A310,139.00,2048,3.00,33.00,33.00
PowerShot A400,139.00,2048,3.00,100.00,45.00
PowerShot A75,139.00,2048,3.00,105.00,35.00
PowerShot A85,139.00,2272,4.00,105.00,35.00
PowerShot A95,139.00,2592,5.00,114.00,38.00
PowerShot G6,499.00,3072,7.00,140.00,35.00
PowerShot Pro1,139.00,3264,8.00,200.00,28.00
PowerShot S1 IS,399.00,2048,3.00,380.00,38.00
PowerShot S410,139.00,2272,3.00,108.00,36.00
PowerShot S500,149.00,2592,5.00,108.00,36.00
PowerShot S60,399.00,2592,5.00,100.00,28.00
PowerShot S70,399.00,3072,7.00,100.00,28.00
PowerShot SD110,199.00,2048,3.00,70.00,35.00
PowerShot SD20,199.00,2592,5.00,39.00,39.00
PowerShot SD200,199.00,2048,3.00,105.00,35.00
PowerShot SD300,199.00,2272,3.00,105.00,35.00
2005,723.12,2896,6.12,108.82,27.18
EOS 20Da,1299.00,3504,8.00,0.00,0.00
EOS 350D / Digital Rebel XT,1299.00,3456,8.00,0.00,0.00
EOS 5D,2499.00,4368,12.00,0.00,0.00
EOS-1D Mark II N,4499.00,3504,8.00,0.00,0.00
PowerShot A410,139.00,2048,3.00,131.00,41.00
PowerShot A510,139.00,2048,3.00,140.00,35.00
PowerShot A520,149.00,2272,3.00,140.00,35.00
PowerShot A610,139.00,2592,5.00,140.00,35.00
PowerShot A620,139.00,3072,7.00,140.00,35.00
PowerShot S2 IS,399.00,2592,5.00,432.00,36.00
PowerShot S80,399.00,3264,8.00,100.00,28.00
PowerShot SD30,199.00,2592,5.00,90.00,38.00
PowerShot SD400,199.00,2592,5.00,105.00,35.00
PowerShot SD430 Wireless,199.00,2592,5.00,105.00,35.00
